song_id,valence_mean,arousal_mean
321,7.3,6
322,6.1,7.6
323,4.82,5.73
324,3.3,4.7
325,5.5,5.4
326,5.4,7.2
327,6,7.1
328,5.2,4.2
329,3.3,4.2
330,5.9,3.1
332,5.5,6.9
333,6.7,6.1
334,5.9,5.9
335,6.8,6.8
336,6.1,6.6
338,3,3.8
339,5.9,6.9
340,3.8,4.6
341,3.8,4.4
342,4,5.1
343,7,8.1
344,4.6,5.2
345,7.2,6.5
346,6.7,7.3
347,3.82,5.82
348,5,5.7
349,4.6,5.8
350,6,6.5
352,5.5,4.5
353,4,4.8
354,7.1,6.4
355,5.1,6.5
356,4.6,5.6
357,4.8,6.5
358,5.6,4.2
359,2.5,3.7
360,2.5,5.5
361,2.55,3.36
362,4,5.9
364,5.5,6.5
365,6,7.1
366,6.9,6.1
367,3.1,2.7
368,4.8,6.1
369,2.9,3.4
370,3.8,3.4
371,5.2,6.6
372,3.6,4.8
374,7,4.9
375,1.9,2.8
376,5,5.9
378,5.5,5.9
379,1.9,2.9
380,5.6,4.8
381,6,6.7
383,4.2,3.6
384,3.6,4.1
386,5,5.5
387,6.2,6.2
390,5.7,6.2
391,5.5,6.1
392,3.4,4.8
393,6,6.4
395,6.7,6.2
397,7,7
399,6.7,7
400,5.1,5.6
401,5.5,6.4
402,7.1,7.1
403,5.1,5.2
404,6.9,6.8
405,6.1,7.4
406,5.3,4.3
407,4.3,4.5
408,6.6,6.1
410,3.8,5.1
415,6,5.2
416,5.5,5.2
419,3.3,4
420,4.5,5.4
422,2.8,3.7
423,5.2,4.5
425,7.1,6.8
426,5.3,5.3
427,5.2,5.8
428,6.6,6.6
429,3.3,4.3
430,4,2.9
431,6.1,5.5
432,5.3,5.3
435,4.5,5.9
436,4.3,5.2
437,5.2,4.3
440,5.3,6.3
441,4.6,5.1
442,4.1,4.5
444,2.3,2.5
445,2.4,4.6
448,6.7,6.5
449,3.6,3.8
450,4.1,5
451,4.9,4.4
452,5.45,6.75
453,4.6,5.6
454,5,4.8
455,5.4,5.7
456,6.1,2.3
458,3.4,5
459,6.3,6.1
460,3.8,3.8
461,4.8,4.4
462,5.8,4.6
463,5,5.7
464,5.1,5.6
466,6.6,5.9
467,5.7,6.8
468,3.6,3.4
469,5.1,5.3
472,6.5,5.2
473,7.1,5.5
475,5.6,5
477,7.1,7.2
478,2.8,3.2
479,4.5,5.7
480,2.7,4.1
481,3.4,4.7
482,1.9,3.5
484,6.4,6.5
485,2.6,3.7
486,6.2,5.7
487,4.5,5.3
488,1.6,3.4
489,4.6,5.2
490,3.9,3.7
492,4.4,4.8
493,3.7,4.9
494,3.7,4.1
496,4.7,5.9
497,6.2,5.7
498,2.9,2.8
499,3.6,3.6
500,6,5.2
501,2.5,4.4
502,4.8,4.6
503,5.8,6.4
504,4.8,4
506,2.9,4.1
507,4.9,4.8
512,5.1,5.4
513,3.1,4.2
514,4.3,5.8
515,3.8,3.4
518,4.1,3.4
519,6.8,5.3
520,4,5.5
521,3.8,4.6
522,3.5,2.7
523,5.1,5.9
524,3.3,4
525,4.3,4.8
527,4,5.7
529,4.7,5.8
530,3.3,3.5
535,6.1,6.5
536,5.1,4.5
537,5,2.6
540,4.1,4.4
544,4.8,4.5
547,3.4,4.8
550,4.2,5.9
551,3.2,4
554,2.8,5
555,5.2,4.8
556,5.6,6.1
558,2.8,3.2
560,2.9,4.6
561,6.9,7
564,4.7,4.9
565,3.1,3
568,5.4,3.1
574,4.5,4.8
577,5.6,5.5
579,3.1,3.2
580,2.4,4.4
581,5.3,6
582,3.1,4.9
584,2.5,2.4
585,4,4.2
586,5.2,5.9
591,5.7,6.2
592,5.45,5.09
594,4.2,3.1
597,4.8,6.4
598,4,5.6
600,3.5,4
605,4.4,6
606,4.1,5.6
607,4.4,6.1
608,2.9,3.8
609,5.3,5.55
610,6.3,6.5
611,5.1,4.8
612,5.6,6.6
613,5.2,6.8
614,4.3,3.7
615,3.2,5
616,3.5,5
617,6.5,3
620,5.8,4.4
621,2.9,4.4
622,4.5,5
623,3.8,5.9
625,3.1,4.4
628,4.9,6.8
629,7.4,7.6
631,7.6,3.1
632,4.2,5.4
634,4.7,5.8
635,6.6,7.6
637,2.2,3.6
638,3.2,4.4
639,6.1,6.3
640,7.6,7.8
643,3.5,4.2
644,4.3,5.6
645,4.6,5.7
646,3.1,3.8
647,3,5.8
648,5.1,6.8
649,6.2,6.7
650,6,4.2
651,6.4,7.1
652,3.2,4.3
653,5.3,6.5
654,5.1,4.4
656,2.6,4.1
657,5.1,5.6
658,4.4,5.7
660,2.1,2.8
661,2.2,2.8
662,5.9,5.1
663,3.3,4.3
664,7,6.6
665,5.7,6.2
666,5.3,5
667,4.2,4.9
668,5,5.3
671,3.1,3.7
672,4.4,6.3
673,6.6,6.7
674,6.8,7.4
675,5.1,5.8
676,6.6,6.6
677,6.5,5.3
681,4.9,6.6
682,4.8,6
684,4.3,4.9
685,4.5,3.6
686,3.4,5.5
687,7.3,7.4
688,4.3,5
689,3.8,4.6
690,2.4,4.4
691,5,3.7
692,6.9,6.1
693,6.2,5.3
695,5.9,6.2
696,5.3,5.8
697,4.8,5.8
698,3.9,3.7
699,3.7,4.5
700,4.8,5.6
702,7.5,3.3
703,5.1,6
704,4.1,4.2
706,5.5,6
707,3.2,3.1
708,3.2,3.2
709,5.8,5
710,5.4,5.1
711,2.9,3.1
712,3.4,5.3
713,4.9,6.3
714,4.4,4.8
715,2.9,4.3
717,4.5,4.9
718,5.9,6.5
719,7.1,7.2
721,5.7,5.5
722,5.7,7
723,6.5,7.2
724,6,6.1
725,5.1,5.1
726,7,3.6
727,4.3,4.5
728,6.9,7.5
729,6.4,3.5
730,3.7,4.5
731,7.3,5.8
732,5.6,6.3
733,4.3,5
734,5.7,6.3
735,4.3,4.9
736,2.7,3.7
737,4.1,4.9
738,5.5,6.2
739,6.2,6.9
740,3.7,4
741,4.6,4.4
742,6.1,6.5
743,3.1,5
744,6.1,5.5
745,4.2,1.6
746,3.7,4.6
747,3.6,4.9
748,5.1,4.4
749,4.2,4.9
750,5.3,5.7
756,5.9,6.8
757,6,6.1
758,4.8,5.9
759,6.7,5.9
763,3.5,5.5
764,6.3,7.5
767,5.2,6.5
769,6.2,5
773,4.5,4.7
775,3.7,4.4
776,3.5,4.5
777,6.2,5.1
779,2.8,5.3
780,5.8,6.2
781,4.9,6.3
782,7.2,4.7
784,4.7,5.7
787,6.1,6.3
789,3.9,5.2
790,7.2,5.4
791,2.7,4.6
794,2.5,4.2
795,2.2,3.5
796,5.2,5.1
797,4.9,5.4
798,6.5,5.9
799,4.1,5.6
800,4.5,4.5
801,3.3,3.5
804,6.9,6.8
805,2.2,3.5
806,6.4,6.6
807,4.8,6.5
808,3.1,4.3
810,6.5,6.6
811,4.1,4.9
813,6.2,6.7
814,6.1,5.3
815,5.5,5.9
818,5.9,6.8
819,4,5.7
820,6.4,6.4
823,4.8,4.8
824,7.2,7
825,4.1,5.7
826,4,4.7
829,2.3,4.5
830,5.3,5.9
831,5.2,6.2
833,5,5.8
834,4.7,4.3
836,7.1,5.7
839,5.7,4.4
841,4.2,4.7
844,3.8,3.4
845,5.1,4
846,6,5.5
848,2.2,2.7
850,3.6,3.1
851,5,4.4
852,4.5,4.7
854,2.9,3.8
855,2.9,4.5
856,6.7,5.6
857,4.9,5.3
858,4.4,4.5
859,3.6,5.1
860,6.6,6.7
863,6.4,7
864,5.7,5.9
865,2.8,4.6
866,5.8,5.1
867,5.8,6.5
869,2.6,4.1
871,6.4,6
872,3.4,5.5
873,6.8,7
874,6.3,4.4
876,6.3,6.7
879,5.6,6
880,4.9,3.8
882,5.3,5.2
884,5.5,5
886,5.9,5.4
887,5.1,5.6
889,6.9,7.2
890,3.6,4.7
891,3.4,5.5
892,3.9,2.9
893,7.3,3.3
897,4.9,4.3
898,6.4,5.5
899,5.3,6.3
902,7,3.3
903,5.9,5.6
904,5.7,4.2
908,5.5,4.9
909,6,5.5
910,7,6.6
911,7.1,4
913,4.8,3.3
915,5,5.2
921,5.9,6.1
924,5.4,6.2
925,4.9,5.7
926,4,5.5
928,5,4
931,6.3,6.5
932,4.5,4.9
934,6.2,6.4
936,5.4,4.7
938,7.3,4.2
939,6.2,2.7
941,7.2,5.9
942,4.8,4.1
944,7.1,6.5
945,2.3,2.8
949,5.7,6.1
952,4.2,3.7
954,5.1,5.5
955,3.8,5.6
956,4.5,5.4
957,2.8,4.7
958,5.5,5.1
959,6.2,6.4
960,7.7,7.7
961,5.6,5.5
962,7.4,3.4
964,7.6,7
967,2.8,4.4
968,3.8,3.2
970,6.6,6.6
973,6.5,4.6
974,4.1,4.2
976,6.2,5.9
977,7.3,3.5
978,7.7,6.1
979,3.1,5.5
980,5.8,4.3
981,6.7,6.6
983,4.8,6.3
985,3.9,6.1
986,5.8,4.5
987,6.3,3.6
988,5.4,5.9
989,6.3,6.4
990,6,6.1
991,3.1,3.5
993,4.4,3.8
994,6.6,5.3
995,4.7,2.4
996,6,6.7
997,6.4,6.7
999,4.1,5.9
1000,6.8,5.6
1001,4.4,3.8
1002,4.5,3.2
1003,5.3,3.3
1004,3.8,4.7
1005,5.4,5.1
1006,4.6,4.4
1007,5.2,5.4
1008,6,5.4
1009,3.5,3.7
1010,6.5,6.5
1011,4.5,3
1012,4.3,2.9
1013,3.2,3.5
1014,4.9,4.5
1015,5.9,6.3
1016,3.3,1.9
1017,4.1,3.8
1018,3.7,2.5
1019,4.3,2.8
1020,3.4,2.5
1021,6.2,4.8
1022,3.3,3.3
1023,2.9,2.3
1024,3.2,2.9
1025,5.1,6.1
1026,3.7,2.8
1027,4.6,3.8
1028,4.5,4.8
1029,3.9,4.5
1030,5.7,5.2
1031,4.8,5
1032,3.3,4.1
1033,5.3,5.6
1034,3.3,2.8
1035,4.3,4.2
1036,4.8,3
1037,5,4.4
1038,5,4.1
1039,6.3,4.6
1040,6.2,5.3
1041,5.6,5.4
1042,5,4.3
1043,4.9,5
1044,7.1,6.1
1045,4.4,3.1
1046,5.6,5
1047,5.3,4.4
1048,5,6.7
1049,5.3,6.7
1050,6,5.8
1051,5.2,5.3
1052,5.5,6.6
1053,4.5,6.3
1054,3.7,6.3
1055,3.7,6.3
1056,4.2,5
1057,4.7,7.1
1058,4,5.8
1059,4.7,7.5
1060,5.2,6.1
1061,6.5,6.2
1062,4.1,4.3
1063,5.2,6.4
1064,5.2,7.1
1065,6,6.4
1066,6.1,5.5
1067,4,3.4
1068,5.9,5.3
1069,4.3,5.6
1070,5.2,5.8
1071,6.5,5.3
1072,6.3,5.5
1073,5.2,3.8
1074,6.8,6.4
1075,6.4,6.6
1076,6,5
1077,6.4,4.8
1078,6.8,6
1079,6.9,5.6
1080,6,5
1081,5,3.5
1082,6.7,6.4
1083,6.1,6.6
1084,5.1,3.4
1085,6.1,5.2
1086,5.9,4.3
1087,6,6.4
1088,7.3,6.6
1089,6.4,6.6
1090,5.6,6.6
1091,5.7,5.8
1092,5.8,6.3
1093,5.8,6
1094,6.4,6.3
1095,6.2,6.2
1096,3.8,3.6
1097,5.5,5.4
1098,6.8,6.3
1099,5.7,5.9
1100,6.3,5.6
1101,3.7,2.4
1102,2.3,4.5
1103,3.6,3.5
1104,4.2,4.4
1105,3.8,3.7
1106,3,3.9
1107,3,3.2
1108,4.8,3.7
1109,4.2,2.4
1110,5.1,5.4
1111,3.2,2.9
1112,3.1,2.3
1113,3.4,3
1114,3.4,3.3
1115,4.4,3.9
1116,5.7,3
1117,4.2,3.4
1118,4,1.9
1119,3.4,2.1
1120,3.4,2.8
1121,3.9,2.3
1122,6.8,5.4
1123,3.1,3.1
1124,5.4,5.1
1125,4.9,3
1126,3.9,3.2
1127,3.4,3
1128,3.7,2.7
1129,3.5,2.4
1130,3.8,3.1
1131,4.5,3.4
1132,4.6,3.4
1133,5,2.4
1134,4.1,2.1
1135,3.1,2.7
1136,4.5,3.4
1137,4.3,4.2
1138,4.4,3.7
1139,5.1,2.5
1140,5.9,5.4
1141,4.5,3.6
1142,3.2,2.1
1143,3.8,5.1
1144,3.7,4.6
1145,4.7,2.4
1146,2.6,3.4
1147,4.6,3.6
1148,3.4,3
1149,4,2.6
1150,4.1,2.3
1151,5,5.6
1152,6.1,5.6
1153,3.9,2.5
1154,3.9,4.4
1155,4.2,4.3
1156,7,5.6
1157,6.9,6.1
1158,6.2,6.2
1159,5.8,6
1160,6.4,5.4
1161,4.1,2.5
1162,3.6,3.8
1163,6.2,5.3
1164,3.6,3.1
1165,3.5,2.8
1166,4.6,3.3
1167,3.6,2.8
1168,4.4,3.3
1169,3.9,2.8
1170,3.1,2.1
1171,3.6,1.9
1172,3.9,2.5
1173,4.3,4
1174,3.6,3.3
1175,3.7,3.4
1176,4.9,2.7
1177,5.2,3.3
1178,4.9,4.5
1179,3.4,4.1
1180,3.3,2.6
1181,3.7,4.4
1182,2.7,2.2
1183,3.7,3.2
1184,4.2,2.3
1185,6.2,4.8
1186,3.7,1.9
1187,4.4,4.1
1188,4.7,3.3
1189,4.8,3.2
1190,3.5,2.2
1191,4.4,2.6
1192,3.7,2.9
1193,4.4,3.9
1194,3.4,2.5
1195,4.2,4
1196,3.8,2.7
1197,3.9,2.8
1198,3.5,1.8
1199,4.5,3.5
1200,3.2,3.6
1201,6,5.5
1202,4.1,2.7
1203,4,3.4
1204,6.6,5.5
1205,6,5.7
1206,5.1,5.8
1207,4.7,3.4
1208,6.2,4.6
1209,4.4,2.7
1210,3.8,2.4
1211,5.5,4.7
1212,3.5,2.7
1213,3.1,2.8
1214,6.2,5.3
1215,6.2,5.6
1216,5.5,5.3
1217,3.9,2.6
1218,3.9,4.1
1219,4.3,2.2
1220,3.6,2.2
1221,5.4,5.3
1222,4.1,3.2
1223,4.6,5.6
1224,6.2,6.8
1225,3.4,4.6
1226,3.9,3.8
1227,4.7,5.7
1228,5.4,3.3
1229,5.2,4.3
1230,5.3,3.7
1231,5.5,6.5
1232,6.9,6.3
1233,5.5,4.8
1234,4.6,3
1235,4.9,5.8
1236,4.5,4.9
1237,4.1,3.3
1238,5.5,5.1
1239,6.3,6.7
1240,2.7,2.6
1241,4.1,3.7
1242,4.7,4.3
1243,5.8,5.7
1244,4.6,3.7
1245,6.4,5.3
1246,4.5,3.1
1247,4.4,6.3
1248,3.7,3
1249,5.1,5.6
1250,7,7.4
1251,6.9,6.3
1252,5.2,5.1
1253,4.1,3
1254,4.7,6.2
1255,3.4,2
1256,5.7,5.5
1257,5,3.8
1258,5.7,5.6
1259,3.6,2.8
1260,7.2,6.5
1261,3.8,3.1
1262,4.5,4.8
1263,5.8,5.1
1264,4.6,3.6
1265,5.8,5.5
1266,5.6,5.1
1267,4.5,3.7
1268,5.3,3.7
1269,3.5,4.4
1270,4.6,5.3
1271,4.6,4.7
1272,4,3.2
1273,4.8,5.6
1274,6,5.4
1275,3.5,2.8
1276,4.8,5.5
1277,2.9,2.2
1278,5.1,4.1
1279,5.6,4.2
1280,5.9,5.4
1281,5.4,4.5
1282,6.8,6.4
1283,3.3,5.2
1284,6.3,6.6
1285,5.1,4.9
1286,3.8,3
1287,4.5,4.3
1288,5.2,3.4
1289,5,4.4
1290,6.6,6.6
1291,3.6,2.5
1292,5.6,5.2
1293,5.7,5.1
1294,5.9,5.5
1295,6.9,6.4
1296,5,5.9
1297,4.8,3.7
1298,6.9,5.6
1299,4.5,4.7
1300,6,4.5
1301,4.4,2.8
1302,4.4,3.8
1303,6.1,6.5
1304,5.2,6.3
1305,4.7,6.2
1306,5.3,5.3
1307,5.1,5.4
1308,5.8,5.3
1309,6.5,7.4
1310,5.1,4.4
1311,4.1,3.5
1312,5.3,4
1313,4.2,3
1314,4.1,4.1
1315,7,6.4
1316,5.2,4
1317,5.3,6.2
1318,4.8,4.3
1319,6.5,5.6
1320,3.8,6.5
1321,4.5,5.7
1322,6.5,5.5
1323,5.5,5
1324,6.1,6.7
1325,5.9,5.8
1326,6.1,5
1327,5.5,2.8
1328,4.4,2.7
1329,5.3,4.2
1330,5.7,7.2
1331,5.3,4.4
1332,2.5,2.3
1333,4.5,5.7
1334,3.8,7.8
1335,5.4,5.6
1336,3.6,2.7
1337,5,6.5
1338,6.2,6.4
1339,7.2,6.8
1340,6.4,5.7
1341,3.5,3.2
1342,6.5,6.4
1343,6,5.4
1344,6.3,5.5
1345,4.5,2.9
1346,6.5,5.6
1347,4.6,4
1348,5.8,6.3
1349,5.2,5.2
1350,4,2.6
1351,6.3,5.9
1352,6.7,6.4
1353,5.3,6.4
1354,4.6,2
1355,6.3,3.8
1356,5.2,5.2
1357,4.5,6
1358,6,6
1359,3.6,3.4
1360,5.5,2.9
1361,4.4,2.5
1362,4.4,5.4
1363,5.1,3.6
1364,4.3,6.2
1365,6.5,6.4
1366,5.4,6.3
1367,7.1,7.2
1368,3.4,3.3
1369,6.8,6.6
1370,4.3,4.1
1371,5.7,5.4
1372,4.8,5.2
1373,6.6,5.7
1374,6,4.1
1375,5.6,5.6
1376,7,6.6
1377,3.7,3.1
1378,5.5,5.7
1379,5.8,5.7
1380,4.1,4.5
1381,6.1,7.1
1382,4.8,4.7
1383,5.6,3
1384,5.8,5.4
1385,6,6
1386,5.9,5
1387,6.1,4.5
1388,6.8,7.8
1389,4.2,3.3
1390,6.1,6.3
1391,4.3,5.7
1392,6.2,6.7
1393,6.2,4.1
1394,6,4.1
1395,4.7,3.5
1396,6.1,6
1397,4.3,3.3
1398,6.9,7.6
1399,6.1,6.4
1400,5.6,5.8
1401,5.8,5.3
1402,5.6,2.5
1403,5.6,5.1
1404,3.8,2.7
1405,3.7,2.2
1406,3.9,3.7
1407,3.6,3.8
1408,4.2,5
1409,4.9,3.7
1410,6,4.4
1411,3.9,2.7
1412,4.6,3.2
1413,4.3,4.1
1414,3.7,4
1415,5.7,4.7
1416,4.4,2.7
1417,4.6,2.4
1418,4.3,3.8
1419,3.7,2.5
1420,4.8,3.1
1421,4.2,3.2
1422,4.1,2.8
1423,4.2,5.5
1424,4.5,3.5
1425,5.1,5.2
1426,6.6,6.4
1427,5,4.9
1428,4.7,3.5
1429,3,2.3
1430,4.6,3.2
1431,4.1,4.1
1432,3.7,2.6
1433,4,3.6
1434,3.7,2.8
1435,3.6,5.3
1436,4.7,3.8
1437,5.1,4.5
1438,3.6,2.9
1439,4.1,2.9
1440,5.1,4.9
1441,5,4
1442,5.3,2.8
1443,5.8,2.9
1444,4.6,3.1
1445,5.1,3.6
1446,5.8,3.2
1447,4.4,4.1
1448,4.4,4.4
1449,4.6,4.1
1450,5.7,5
1451,5.1,4.8
1452,4.2,3.9
1453,4,3.8
1454,5.2,3.6
1455,4.1,4.2
1456,4.3,2.2
1457,5.4,4.8
1458,4.2,4.7
1459,5.4,5.1
1460,4.8,3.9
1461,5.3,4.2
1462,4.8,3.9
1463,3.3,3
1464,4.8,4.4
1465,5.2,3.7
1466,6.1,4.5
1467,4,4.2
1468,3.7,2
1469,3.1,3.2
1470,5.1,3.2
1471,7.3,6.8
1472,5,5.2
1473,6.1,6
1474,6.6,6.4
1475,4.3,3.2
1476,4.5,5.1
1477,5.1,4.5
1478,5.1,3.5
1479,5,5.1
1480,4.8,5.3
1481,3.9,3.7
1482,4.3,3.4
1483,3.9,3.8
1484,4.4,3.8
1485,4.7,3.8
1486,3.7,2.9
1487,4.3,2.4
1488,4.9,3.9
1489,4.9,4.6
1490,3.8,3.1
1491,4.8,5.2
1492,3.3,2.8
1493,4,6.1
1494,4.9,3.8
1495,4.4,3.9
1496,6.1,5.8
1497,4.4,3.6
1498,4.8,3.8
1499,4.8,4.5
1500,3.8,3.2
1501,5,4.9
1502,7.2,7
1503,5.9,4.1
1504,6,5.9
1505,4.2,4.9
1506,5,4.8
1507,5.5,5.7
1508,5.9,5.3
1509,5.9,5.4
1510,4.1,5.6
1511,5.5,5.6
1512,3.8,5.2
1513,6.1,6.3
1514,4.6,5.4
1515,4.4,4.8
1516,5.6,4.9
1517,6,5
1518,6.1,6.3
1519,5,5.6
1520,5.3,5.3
1521,4.8,4.9
1522,5.2,5.7
1523,6.9,4.8
1524,5.6,4.4
1525,4.5,4.5
1526,5.9,5.9
1527,4.5,4.7
1528,5.5,4.6
1529,5.4,5.7
1530,6.2,4.2
1531,5.1,4.8
1532,5.8,5.6
1533,5.2,5.3
1534,5.7,5.7
1535,5.4,5.3
1536,4.8,3.4
1537,5.9,3.4
1538,6.3,4.7
1539,4.4,4.7
1540,5.7,5.1
1541,5.2,4.6
1542,5.5,5.5
1543,6.1,5.4
1544,6.4,5.4
1545,4.8,4.8
1546,5.3,4.4
1547,4,5.8
1548,4.6,3.7
1549,4.9,5.2
1550,4.8,3.7
1551,5.6,5.4
1552,5.6,5.6
1553,5.6,5.9
1554,5.8,4.5
1555,4.4,2.9
1556,4.7,6.1
1557,5.5,6.3
1558,3.4,5.9
1559,5.8,5.2
1560,5.2,5.2
1561,5,6
1562,4.8,6.3
1563,5.1,5.7
1564,6.1,6.4
1565,4.6,4.9
1566,6.2,5.3
1567,4,5
1568,5.4,6
1569,5.6,5.8
1570,5.2,4.6
1571,4.4,6.9
1572,5.5,5
1573,4.9,3.6
1574,5.9,5.4
1575,5.2,5.1
1576,5.4,3.9
1577,5.2,4.7
1578,5.9,4.8
1579,5.8,4.9
1580,6.1,5.2
1581,6.5,6.1
1582,5.9,5.4
1583,5.6,5.2
1584,4.9,4.6
1585,5,3.9
1586,4.3,5
1587,5,5.5
1588,4.9,5.8
1589,5.8,6.1
1590,4.2,6.2
1591,5.9,4.7
1592,6.1,6.4
1593,4.7,3.5
1594,5.6,5.4
1595,5.6,5.9
1596,5.5,5.1
1597,5.5,5
1598,4.3,5.5
1599,3.6,4.1
1600,5.6,5.6
1601,5,5.3
1602,5,3.7
1603,5.4,3.9
1604,4.5,3.6
1605,5.6,4
1606,5.6,4.9
1607,4.5,3
1608,4.5,7
1609,6.4,6.5
1610,6.4,4.1
1611,5.7,6.2
1612,3.8,3.1
1613,6.2,6.6
1614,6.6,4.6
1615,5.7,4.6
1616,4.8,5.5
1617,6.1,5.9
1618,6.1,3.9
1619,5.2,5.3
1620,6.3,5.7
1621,6.1,6
1622,6,5.9
1623,5.6,5.3
1624,5.7,6.4
1625,4.9,4.4
1626,6.1,6
1627,4.4,3.9
1628,4.7,4.8
1629,6.4,6.3
1630,6,5.4
1631,5.7,4.8
1632,5.2,3.4
1633,6.5,6.3
1634,5.5,6.1
1635,6.8,6.1
1636,4.6,5.2
1637,5.5,3.6
1638,5.9,3.9
