song_id,valence,arousal,quadrant
592,0.4125,0.4125,sad
6,0.35,0.5125,angry
600,0.65,0.4125,relax
606,0.8,0.875,happy
607,0.6375,0.7125,happy
609,0.5125,0.4375,relax
61,0.275,0.375,sad
611,0.475,0.675,angry
614,0.4875,0.2875,sad
621,0.55,0.3625,relax
624,0.55,0.575,happy
632,0.6875,0.8625,happy
647,0.6125,0.5625,happy
671,0.4125,0.675,angry
673,0.2,0.5125,angry
674,0.25,0.3875,sad
676,0.475,0.55,angry
677,0.3625,0.5625,angry
68,0.575,0.65,happy
683,0.7375,0.2375,relax
688,0.4625,0.4625,sad
692,0.5125,0.5,happy
697,0.4875,0.7,angry
700,0.475,0.35,sad
706,0.6125,0.4,relax
707,0.3,0.3125,sad
715,0.525,0.325,relax
716,0.525,0.5,happy
717,0.6875,0.5375,happy
722,0.65,0.575,happy
726,0.7125,0.7375,happy
729,0.4,0.525,angry
732,0.6125,0.6375,happy
736,0.4125,0.4875,sad
745,0.6125,0.75,happy
746,0.7875,0.6625,happy
749,0.4875,0.525,angry
754,0.8,0.65,happy
757,0.375,0.6625,angry
763,0.55,0.3875,relax
767,0.5125,0.475,relax
769,0.475,0.525,angry
771,0.5625,0.425,relax
777,0.475,0.525,angry
779,0.4125,0.75,angry
783,0.45,0.475,sad
784,0.35,0.45,sad
786,0.45,0.725,angry
798,0.6,0.7375,happy
80,0.7625,0.725,happy
807,0.3625,0.3375,sad
809,0.65,0.1875,relax
810,0.65,0.4125,relax
815,0.3125,0.2875,sad
816,0.425,0.3,sad
825,0.8375,0.5375,happy
827,0.825,0.6,happy
83,0.725,0.775,happy
832,0.625,0.85,happy
842,0.35,0.6,angry
857,0.2125,0.675,angry
859,0.725,0.5875,happy
861,0.7625,0.7625,happy
864,0.409090909,0.488636364,sad
869,0.5125,0.45,relax
879,0.6375,0.4875,relax
885,0.4875,0.425,sad
886,0.725,0.525,happy
897,0.5625,0.3875,relax
9,0.2875,0.45,sad
905,0.575,0.475,relax
911,0.3875,0.525,angry
918,0.6375,0.4,relax
92,0.575,0.65,happy
921,0.5625,0.475,relax
926,0.4875,0.25,sad
929,0.3375,0.6,angry
931,0.5,0.4375,relax
935,0.386363636,0.511363636,angry
936,0.45,0.4125,sad
938,0.75,0.725,happy
940,0.5,0.625,angry
952,0.4875,0.525,angry
953,0.55,0.3375,relax
957,0.3375,0.525,angry
959,0.45,0.8,angry
962,0.2,0.6375,angry
964,0.6,0.5375,happy
966,0.45,0.575,angry
968,0.4,0.4875,sad
969,0.175,0.5125,angry
978,0.725,0.6875,happy
979,0.5125,0.3625,relax
983,0.5,0.775,angry
989,0.3125,0.575,angry
